t,id,lat_deg,lon_deg,alt_m,yaw_deg
12.2,2,32.098070644,125.999218652,300.0039,198.5420
12.3,0,32.000000000,126.000000000,0.0000,0.0000
12.3,1,32.125000000,126.026089640,0.0001,270.0000
12.3,2,32.097900515,125.999148330,300.0039,199.3848
12.4,0,32.000000000,126.000000000,0.0000,0.0000
12.4,1,32.125000000,126.026057849,0.0001,270.0000
12.4,2,32.097731285,125.999075075,300.0039,200.2277
12.5,0,32.000000000,126.000000000,0.0000,0.0000
12.5,1,32.125000000,126.026026057,0.0001,270.0000
12.5,2,32.097562991,125.998998904,300.0040,201.0705
12.6,0,32.000000000,126.000000000,0.0000,0.0000
12.6,1,32.124999999,126.025994266,0.0001,270.0000
12.6,2,32.097395669,125.998919834,300.0040,201.9133
12.7,0,32.000000000,126.000000000,0.0000,0.0000
12.7,1,32.124999999,126.025962474,0.0001,270.0000
12.7,2,32.097229354,125.998837880,300.0040,202.7561
12.8,0,32.000000000,126.000000000,0.0000,0.0000
12.8,1,32.124999999,126.025930683,0.0001,270.0000
12.8,2,32.097064084,125.998753062,300.0041,203.5989
12.9,0,32.000000000,126.000000000,0.0000,0.0000
12.9,1,32.124999999,126.025898891,0.0001,270.0000
12.9,2,32.096899894,125.998665398,300.0041,204.4418
13.0,0,32.000000000,126.000000000,0.0000,0.0000
13.0,1,32.124999999,126.025867099,0.0001,270.0000
13.0,2,32.096736820,125.998574906,300.0041,205.2846
13.1,0,32.000000000,126.000000000,0.0000,0.0000
13.1,1,32.124999999,126.025835308,0.0001,270.0000
13.1,2,32.096574896,125.998481606,300.0042,206.1274
13.2,0,32.000000000,126.000000000,0.0000,0.0000
13.2,1,32.124999999,126.025803516,0.0001,270.0000
13.2,2,32.096414158,125.998385518,300.0042,206.9702
13.3,0,32.000000000,126.000000000,0.0000,0.0000
13.3,1,32.124999999,126.025771725,0.0001,270.0000
13.3,2,32.096254640,125.998286663,300.0042,207.8130
13.4,0,32.000000000,126.000000000,0.0000,0.0000
13.4,1,32.124999999,126.025739933,0.0001,270.0000
13.4,2,32.096096378,125.998185063,300.0042,208.6559
13.5,0,32.000000000,126.000000000,0.0000,0.0000
13.5,1,32.124999999,126.025708142,0.0001,270.0000
13.5,2,32.095939405,125.998080739,300.0043,209.4987
13.6,0,32.000000000,126.000000000,0.0000,0.0000
13.6,1,32.124999999,126.025676350,0.0001,270.0000
13.6,2,32.095783755,125.997973714,300.0043,210.3415
13.7,0,32.000000000,126.000000000,0.0000,0.0000
13.7,1,32.124999999,126.025644559,0.0001,270.0000
13.7,2,32.095629462,125.997864012,300.0043,211.1843
13.8,0,32.000000000,126.000000000,0.0000,0.0000
13.8,1,32.124999999,126.025612767,0.0001,270.0000
13.8,2,32.095476559,125.997751655,300.0044,212.0271
13.9,0,32.000000000,126.000000000,0.0000,0.0000
13.9,1,32.124999999,126.025580976,0.0001,270.0000
13.9,2,32.095325080,125.997636669,300.0044,212.8700
14.0,0,32.000000000,126.000000000,0.0000,0.0000
14.0,1,32.124999999,126.025549184,0.0001,270.0000
14.0,2,32.095175057,125.997519077,300.0044,213.7128
14.1,0,32.000000000,126.000000000,0.0000,0.0000
14.1,1,32.124999999,126.025517393,0.0001,270.0000
14.1,2,32.095026522,125.997398907,300.0045,214.5556
14.2,0,32.000000000,126.000000000,0.0000,0.0000
14.2,1,32.124999999,126.025485601,0.0001,270.0000
14.2,2,32.094879509,125.997276183,300.0045,215.3984
14.3,0,32.000000000,126.000000000,0.0000,0.0000
14.3,1,32.124999999,126.025453809,0.0001,270.0000
14.3,2,32.094734048,125.997150932,300.0045,216.2412
14.4,0,32.000000000,126.000000000,0.0000,0.0000
14.4,1,32.124999999,126.025422018,0.0001,270.0000
14.4,2,32.094590171,125.997023181,300.0046,217.0841
14.5,0,32.000000000,126.000000000,0.0000,0.0000
14.5,1,32.124999999,126.025390226,0.0001,270.0000
14.5,2,32.094447909,125.996892958,300.0046,217.9269
14.6,0,32.000000000,126.000000000,0.0000,0.0000
14.6,1,32.124999999,126.025358435,0.0001,270.0000
14.6,2,32.094307293,125.996760291,300.0046,218.7697
14.7,0,32.000000000,126.000000000,0.0000,0.0000
14.7,1,32.124999999,126.025326643,0.0001,270.0000
14.7,2,32.094168354,125.996625210,300.0047,219.6125
